	MODEL	no_context_ACC	no_context_F1	no_context_BEM	rel_context_ACC	rel_context_F1	rel_context_BEM	wrong-date_context_ACC	wrong-date_context_F1	wrong-date_context_BEM	rand_context_ACC	rand_context_F1	rand_context_BEM
0	gemma-1.1-7b-it + no-context	0.38666666666666605	0.24542857142857102	0.476016662071148	0.853333333333333	0.524275132275132	0.84570527066787	0.533333333333333	0.283121693121693	0.5768174744645751	0.053333333333333004	0.049111111111111	0.195508107642332
1	gemma-1.1-7b-it + relevant-context	0.373333333333333	0.24184126984126902	0.47437297165393805	0.84	0.477841269841269	0.8669856115182241	0.45333333333333303	0.223005291005291	0.5733490754167231	0.04	0.039291005291005	0.198576849400997
2	gemma-1.1-7b-it + random-context	0.38666666666666605	0.257756613756613	0.47538501153389606	0.866666666666666	0.572169312169311	0.858270326008399	0.7066666666666661	0.41250793650793605	0.7051727497080961	0.33333333333333304	0.22031746031746002	0.45104290212194104
3	gemma-1.1-7b-it + wrong-date-context	0.4	0.25787301587301503	0.49551980207363705	0.866666666666666	0.518126984126984	0.8846774003903071	0.7733333333333331	0.455185185185185	0.827175549020369	0.10666666666666601	0.077322751322751	0.261409545441468
4	gemma-1.1-2b-it + no-context	0.22666666666666602	0.16095238095238001	0.38853658984104705	0.7866666666666661	0.47308994708994706	0.842184658944606	0.72	0.431555555555555	0.7909744853774701	0.04	0.026338624338624002	0.253301633795102
5	gemma-1.1-2b-it + relevant-context	0.186666666666666	0.10384126984126901	0.33581605762243205	0.7333333333333331	0.420518518518518	0.8051641380290191	0.6533333333333331	0.36609523809523803	0.7738411284983151	0.04	0.023005291005291	0.28833470488588003
6	gemma-1.1-2b-it + random-context	0.21333333333333301	0.15221164021164002	0.372924743344386	0.7866666666666661	0.47893121693121704	0.857648451427618	0.76	0.42377777777777703	0.7993553909162681	0.08	0.035587301587301	0.284502951254447
7	gemma-1.1-2b-it + wrong-date-context	0.2	0.108	0.327531141738096	0.7333333333333331	0.420518518518518	0.8085957703987751	0.693333333333333	0.390539682539682	0.793825567513704	0.04	0.023005291005291	0.253709625452756
8	gemma-1.1-2b-it + baseline	0.2	0.11028571428571401	0.332566075722376	0.746666666666666	0.45769312169312104	0.814665823380152	0.68	0.385650793650793	0.7749086569746331	0.04	0.023746031746031	0.261234469860792
9	gemma-7b + baseline	0.45333333333333303	0.29778835978835905	0.43763093665242203	0.8266666666666661	0.6815767195767191	0.877667051802078	0.746666666666666	0.6111322751322741	0.8181681747237841	0.38666666666666605	0.320603174603174	0.44438380027810703
10	gemma-2b + baseline	0.32	0.22010582010582003	0.33978954538702905	0.7066666666666661	0.5537248677248671	0.7485811681548751	0.68	0.5306137566137561	0.723904372105995	0.08	0.08391534391534301	0.15054141312837602
11	gemma-1.1-7b-it + baseline	0.36	0.23093121693121701	0.44120818684498403	0.866666666666666	0.555142857142856	0.8549451690912241	0.6133333333333331	0.37620105820105804	0.650514779885609	0.08	0.06015873015873	0.214165730277697
12	gemma-7b + no-context	0.44	0.30456084656084603	0.47282197624444905	0.8266666666666661	0.686539682539681	0.8734965527057641	0.7733333333333331	0.627439153439153	0.8137902385493121	0.41333333333333305	0.356624338624338	0.45780200709899205
13	gemma-7b + relevant-context	0.506666666666666	0.367735449735449	0.505528685003519	0.84	0.699756613756613	0.909054479897022	0.8	0.678645502645501	0.8576194940010701	0.38666666666666605	0.314444444444444	0.449704787433147
14	gemma-7b + random-context	0.493333333333333	0.34417989417989403	0.5009058422843611	0.84	0.701978835978835	0.907465868790944	0.813333333333333	0.6679470899470891	0.85390936260422	0.48	0.403746031746031	0.537546078662077
15	gemma-7b + wrong-date-context	0.533333333333333	0.358201058201058	0.526945846329132	0.84	0.705343915343914	0.906956189374129	0.8	0.6824550264550251	0.85678738216559	0.38666666666666605	0.31970370370370305	0.439074140290419
16	gemma-2b + no-context	0.33333333333333304	0.24407407407407403	0.36748151391744605	0.76	0.6246137566137561	0.8395755645632741	0.693333333333333	0.561343915343915	0.7657711876432101	0.133333333333333	0.12429629629629602	0.228800316204627
17	gemma-2b + relevant-context	0.30666666666666603	0.21346031746031702	0.344407599667708	0.746666666666666	0.586550264550264	0.8243909441431361	0.746666666666666	0.5892169312169311	0.802933018455902	0.133333333333333	0.127788359788359	0.26755690157413403
18	gemma-2b + random-context	0.293333333333333	0.23193650793650702	0.360740962326526	0.7333333333333331	0.586105820105819	0.802768697539965	0.7066666666666661	0.563121693121693	0.7737431899706521	0.173333333333333	0.149470899470899	0.273115483770767
19	gemma-2b + wrong-date-context	0.32	0.22395767195767102	0.34633554046352705	0.7733333333333331	0.621089947089946	0.832039168328046	0.746666666666666	0.5892804232804231	0.8010769286255041	0.146666666666666	0.12239153439153401	0.25091243058443
